image_path,class
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/0.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/1.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/2.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/3.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/4.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/5.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/6.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/7.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/8.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/9.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/10.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/11.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/12.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/13.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/14.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/15.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/16.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/17.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/18.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/19.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/20.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/21.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/22.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/23.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/24.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/25.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/26.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/27.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/28.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/29.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/30.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/31.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/32.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/33.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/34.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/35.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/36.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/37.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/38.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/39.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/40.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/41.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/42.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/43.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/44.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestQuick/img/45.png,1
