image_path,class
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/0.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/1.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/2.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/3.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/4.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/5.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/6.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/7.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/8.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/9.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/10.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/11.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/12.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/13.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/14.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/15.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/16.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/17.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/18.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/19.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/20.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/21.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/22.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/23.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/24.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/25.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/26.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/27.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/28.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/29.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/30.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/31.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/32.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/33.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/34.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/35.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/36.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/37.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/38.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/39.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/40.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/41.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/42.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/43.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/44.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../TestSlow/img/45.png,0
