image_path,class
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/0.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/1.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/2.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/3.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/4.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/5.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/6.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/7.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/8.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/9.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/10.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/11.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/12.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/13.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/14.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/15.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/16.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/17.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/18.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/19.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/20.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/21.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/22.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/23.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/24.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/25.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/26.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/27.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/28.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/29.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/30.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/31.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/32.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/33.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/34.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/35.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/36.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/37.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/38.png,1
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/39.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/40.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/41.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/42.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/43.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/44.png,0
C:\Users\davip\Davi\Programming\Python\windowsSeeUrchin\database\tools/../manualExample/img/45.png,0
