image_path,class
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/0.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/1.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/2.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/3.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/4.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/5.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/6.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/7.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/8.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/9.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/10.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/11.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/12.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/13.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/14.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/15.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/16.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/17.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/18.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/19.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/20.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/21.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/22.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/23.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/24.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/25.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/26.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/27.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/28.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/29.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/30.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/31.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/32.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/33.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/34.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/35.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/36.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/37.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/38.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/39.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/40.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/41.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/42.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/43.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/44.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/border/img/45.png,0
