image_path,class
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/0.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/1.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/2.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/3.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/4.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/5.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/6.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/7.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/8.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/9.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/10.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/11.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/12.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/13.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/14.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/15.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/16.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/17.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/18.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/19.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/20.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/21.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/22.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/23.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/24.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/25.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/26.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/27.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/28.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/29.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/30.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/31.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/32.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/33.png,1
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/34.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/35.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/36.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/37.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/38.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/39.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/40.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/41.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/42.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/43.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/44.png,0
C:\Users\davip\Davi\Programming\Python\See_Urchin\database\tools/testnewclass/img/45.png,0
